Localidad,Provincia,Auto_año,Tipo_de_auto,Marca,Modelo
Moron,Buenos Aires,1999,S.wagon,Chevrolet,Corsa
Tigre,Buenos Aires,1998,Furgon vidriado c/as,Volkswagen,Transporter
Moron,Buenos Aires,1999,Berlina 3 ptas,Renault,Clio
Mendoza,Mendoza,2002,Berlina 4 ptas.,Renault,Megane
Rosario,Santa Fe,1999,Sedan,Chevrolet,Corsa
Rosario,Santa Fe,2010,Grua con planchada,Iveco,Daily
San miguel,Buenos Aires,2011,Furgon 800,Peugeot,Partner
Casilda,Santa Fe,2001,Rural 3 puertas,Peugeot,Parpaddaa
Rosario,Santa Fe,1998,Sedan,Chevrolet,Chevrolet
Merlo,Buenos Aires,1997,Trans.de carga,Tata,609/38
Esteban echeverria,Buenos Aires,1994,Sedan,Peugeot,405
Jose c. paz,Buenos Aires,2001,Sedan,Chevrolet,Corsa
La matanza,Buenos Aires,2009,Utilitario,Chevrolet,Corsa
Esteban echeverria,Buenos Aires,1998,S. wagon,Chevrolet,Corsa
Salta,Salta,2012,Semirrem.bdas.volc.,Sola y brusa,06819sbvmsr12
Moron,Buenos Aires,2001,Furgon vidriado,Volkswagen,Caddy
Mendoza,Mendoza,1994,Berlina 5 puertas,Renault,Renault
Adrogue,Buenos Aires,2010,Berline 5 portes,Peugeot,207
Rosario,Santa Fe,2004,Furgon 600,Peugeot,Partner
La plata,Buenos Aires,2007,Furgon 600,Peugeot,Partner
Capital federal,Ciudad Autónoma de Bs.As.,1993,Chasis c/ca p/camion,Mercedes benz,L
Rosario,Santa Fe,1997,Berlina 5 ptas,Renault,Clio
Ituzaingo nº 1 (ex. moron nº 8),Buenos Aires,2010,Furgon 800,Peugeot,Partner
Capital federal,Ciudad Autónoma de Bs.As.,2008,Furgon 600,Peugeot,Partner
La matanza,Buenos Aires,2011,Furgon vidr.c/asient,Renault,Kangoo
Mendoza,Mendoza,1995,Berlina 3 ptas,Renault,Twingo
La matanza,Buenos Aires,2006,Furgon vidriado c/asientos,Renault,Kangoo
Moron,Buenos Aires,1999,Familiar,Renault,Kangoo
Capital federal,Ciudad Autónoma de Bs.As.,1993,Furgon largo,Renault,Renault
Cordoba,Córdoba,1992,Automovil,Fiat,Elba
Capital federal,Ciudad Autónoma de Bs.As.,2008,Furgon termico c/equ,Kia,K-2700
Lanus,Buenos Aires,1997,Furgon vidriado c/as,Renault,Express
Lanus,Buenos Aires,1993,Furgon largo,Renault,Renault
La plata,Buenos Aires,2000,Sedan,Chevrolet,Corsa
San martin,Buenos Aires,1999,Sedan,Chevrolet,Corsa
La matanza,Buenos Aires,2002,Furgon 3000,Mercedes benz,Sprinter
La matanza,Buenos Aires,1991,Sedan,Ford,Escort
Lujan,Buenos Aires,1992,Chasis c/cabina p/ca,Mercedes benz,L
Moron,Buenos Aires,2001,Furgon familiar,Renault,Kangoo
Marcos paz,Buenos Aires,2005,Furg/vidriado/asient,Peugeot,Partner
Jose c. paz,Buenos Aires,1999,Sedan,Chevrolet,Corsa
Merlo,Buenos Aires,1990,Sedan,Ford,Escort
Esteban echeverria,Buenos Aires,1994,Berlina 5 ptas,Renault,Renault
La matanza,Buenos Aires,2012,Semirremolque batea,Petinari,Sem
Hurlingham nº 1 (ex. moron nº 4),Buenos Aires,2009,Furgon vidriado c/asientos,Citroen,Berlingo
Tres de febrero,Buenos Aires,2001,Furgon vidriado c/asientos,Renault,Kangoo
Adrogue,Buenos Aires,1998,Sedan,Chevrolet,Corsa
Florencio varela,Buenos Aires,1998,Furgon vid.c/asiento,Ford,Courier
San martin,Buenos Aires,2000,Sedan,Chevrolet,Corsa
San martin,Buenos Aires,2008,Furgon 600,Peugeot,Partner
San vicente,Buenos Aires,1994,Sedan,Renault,19
San isidro,Buenos Aires,1998,Sedan,Chevrolet,Corsa
San miguel,Buenos Aires,2011,Furgon vidriado c/as,Citroen,Berlingo
Lomas de zamora,Buenos Aires,2000,Sedan,Chevrolet,Corsa
Lomas de zamora,Buenos Aires,1997,Furgon vidriado,Ford,Transit
Lomas de zamora,Buenos Aires,2001,Rural,Chevrolet,Corsa
Tigre,Buenos Aires,1996,Sedan 3 ptas,Volkswagen,Gol
Capital federal,Ciudad Autónoma de Bs.As.,2008,Caja abierta,Ford,F-4000
Quilmes nº 5 (ex 9),Buenos Aires,2005,Furgon vid.c/asiento,Renault,Kangoo
Quilmes nº 5 (ex 9),Buenos Aires,2000,Berlina 5 ptas.,Renault,Clio
Capital federal,Ciudad Autónoma de Bs.As.,1993,Furgon con frio,Ford,F-100
Jose c. paz,Buenos Aires,2009,Furgon vid c/asientos,Renault,Kangoo
San miguel,Buenos Aires,2014,Furgon vidriado c/asientos,Citroen,Berlingo
Mar del plata,Buenos Aires,2000,Furgon vidriado con asientos,Mercedes benz,Sprinter
