Marca,Modelo,Cuerpo,Año,Puertas,Airbags,Adulto,Niños,LATIN NCA
Chevrolet, tracker,SUV,2020,5.0,6 ,91.0,92.0,5.0
Citroen, c3 ,SUV,2023,5.0,2,31.0,12.0,0.0
Byd, f0,HB,2016,5.0,0,10.0,26.0,0.0
Fiat,Strada 700,PICK UP 4,2022,4.0,4,41.0,53.0,1.0
Fiat,Strada 700,PICK UP 2,2022,2.0,2,47.0,22.0,1.0
Fiat,Argo / cronos ,HB ,2021,5.0,2,24.0,10.0,0.0
Ford ,Ka,HB ,2020,5.0,2,34.0,9.0,0.0
Gwm ,Wingle 5,PICK UP 4,2021,4.0,2,9.0,0.0,0.0
Honda ,Wr-v,HB,2022,5.0,2,41.0,41.0,1.0
Hyundai ,Hb20 ,HB ,2023,5.0,6,68.0,75.0,3.0
Hyundai ,Tucson ,SUV,2022,5.0,6,82.0,72.0,3.0
Hyundai ,Tucson ,SUV,2022,5.0,2,50.0,5.0,0.0
Hyundai ,Accent ,SEDAN ,2021,5.0,1,9.0,13.0,0.0
Hyundai ,Accent ,SEDAN ,2021,4.0,1,9.0,13.0,0.0
Hyundai ,Tucson ,SUV,2021,5.0,2,51.0,4.0,0.0
Hyundai ,Accent ,HB ,2020,5.0,2,19.0,10.0,0.0
Jac ,E-js1,HB ,2022,5.0,2,0.0,6.0,0.0
Jac ,E10x ,HB ,2022,5.0,2,0.0,6.0,0.0
Jac ,E-s1,HB ,2022,5.0,2,0.0,6.0,0.0
Jac ,S1,HB ,2022,5.0,2,0.0,6.0,0.0
Jeep ,Renegade ,SUV,2023,5.0,2,49.0,67.0,1.0
Kia ,Sportage ,SUV,2022,5.0,6,82.0,72.0,3.0
Kia ,Sportage ,SUV,2022,5.0,6,82.0,72.0,3.0
Kia ,Sportage ,SUV,2021,5.0,2,48.0,15.0,0.0
Kia ,Picanto ,HB ,2020,5.0,1,0.0,29.0,0.0
Kia ,Morning ,HB ,2020,5.0,1,0.0,29.0,0.0
Mitshubishi,Outlander,SUV ,2022,5.0,7,90.0,91.0,5.0
Nissan ,Qashqai ,SUV,2022,5.0,6,94.0,92.0,5.0
Peugeot,208,HB ,2021,5.0,4,52.0,55.0,2.0
Ram ,Strada 700,PICK UP 4 ,2022,4.0,4,41.0,53.0,1.0
Ram ,Strada 700,PICK UP 2 ,2022,2.0,2,47.0,22.0,1.0
Renault ,Duster ,SUV,2021,5.0,2,29.0,23.0,0.0
Renault ,Duster ,SUV,2021,5.0,2,29.0,23.0,0.0
Suzuki ,Baleno ,HB ,2021,5.0,2,20.0,17.0,0.0
Suzuki ,Swift ,HB,2021,5.0,2,16.0,0.0,0.0
Suzuki ,Swift ,HB,2021,5.0,2,16.0,0.0,0.0
Toyota,Corolla,SEDAN ,2022,4.0,7,83.0,92.0,5.0
Toyota,Corolla,SEDAN ,2022,4.0,7,83.0,92.0,5.0
Toyota,Corolla,SEDAN ,2022,4.0,7,83.0,92.0,5.0
Toyota,Corolla,SEDAN ,2022,4.0,7,83.0,92.0,5.0
Toyota,Yaris ,HB ,2021,5.0,2,41.0,64.0,1.0
Toyota,Yaris ,HB ,2021,5.0,2,41.0,64.0,1.0
Volkswagen,Taigun ,SUV,2023,5.0,6,92.0,92.0,5.0
Volkswagen,Virtus ,SEDAN ,2022,4.0,6,92.0,92.0,5.0
Volkswagen,Virtus ,SEDAN ,2022,4.0,6,92.0,92.0,5.0
Volkswagen,Polo ,HB ,2022,5.0,4,73.0,71.0,3.0
Volkswagen,Polo track ,HB ,2022,5.0,4,73.0,71.0,3.0
Volkswagen,Nivus ,SUV ,2021,5.0,6,92.0,92.0,5.0
Volkswagen,Taos,SUV,2021,5.0,6,90.0,90.0,5.0
